총량지점명,Date,수온(℃),수소이온농도(ph),전기전도도(μS/㎝),용존산소(㎎/L),BOD,COD(㎎/L),부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),Flow
밀양B,2020-01-13,6.2,7.3,229,12.3,1.2,4,7.8,3.556,0.043,3.3,8.798
밀양B,2020-01-21,6.7,7.7,267,13.3,1,3.4,2.8,3.223,0.035,2.6,5.497
밀양B,2020-01-28,7.3,7,257,12.1,2,3.8,8.8,3.522,0.057,2.9,184.483
밀양B,2020-02-04,8.1,7.6,179,12.6,1.4,3.2,4.2,3.244,0.04,2.3,9.101
밀양B,2020-02-10,5.3,7.2,208,13,1.1,3.4,3.2,3.007,0.032,2.4,6.043
밀양B,2020-02-26,10.1,7.4,178,11.6,1.8,4.3,22.2,2.795,0.044,3.6,82.012
밀양B,2020-03-10,10.9,7.3,182,11.7,1.2,3.2,6,2.555,0.022,2.6,5.474
밀양B,2020-03-16,11,7.4,178,12.1,1,2.9,4,2.148,0.025,2.2,9.756
밀양B,2020-03-24,16.1,8.5,171,12.8,2.9,4.1,6.4,1.952,0.025,3.5,5.688
밀양B,2020-04-06,16.2,8.7,176,12.3,3.6,5,8.4,1.522,0.034,3.7,3.445
밀양B,2020-04-14,16.5,8.2,174,11.1,2.9,4.5,5.6,1.52,0.037,3.7,4.873
밀양B,2020-04-20,17.2,7.6,164,10.1,1.7,3.9,4.4,1.322,0.042,2.7,13.182
밀양B,2020-05-04,22.4,8.6,163,11.5,2.9,5.3,6.8,1.082,0.037,3.9,7.349
밀양B,2020-05-12,22.9,7.3,179,8.6,3.8,5.5,7.6,1.198,0.045,4,4.684
밀양B,2020-05-18,22.5,8.4,179,8.8,4.1,5.9,9.6,1.191,0.039,4.2,6.465
밀양B,2020-05-26,23.7,8.7,188,9.6,3.5,5.8,7.6,0.953,0.038,4.3,2.269
밀양B,2020-06-01,25.4,8.6,205,9,3.1,5.4,8,0.861,0.038,3.8,1.247
밀양B,2020-06-09,28.6,8.8,229,10.8,6.9,10.1,13.2,0.698,0.056,7.3,0.745
밀양B,2020-06-15,25.4,7.2,179,6.6,2,6.9,8.8,2.987,0.061,4.9,59.542
밀양B,2020-06-23,27.7,9,184,9.4,4.6,7.3,8,1.841,0.042,5.3,3.807
밀양B,2020-07-06,24.6,7.2,179,8,2.9,5.6,8.2,2.601,0.046,4.4,4.539
밀양B,2020-07-15,20.2,7.1,116,8,1.3,4.9,9,2.883,0.051,3.3,180.739
밀양B,2020-07-20,24.1,7.2,135,7.6,0.5,3.6,4,2.355,0.035,3.1,57.437
밀양B,2020-08-18,32.1,8.6,163,12.1,3.1,4.8,6.8,2.505,0.035,3.5,11.888
밀양B,2020-08-25,30.7,7.5,185,7.6,2.7,5.3,9.6,2.161,0.038,3.9,8.922
밀양B,2020-09-01,28.6,7.9,158,8.2,2,5,8,1.354,0.045,3.4,7.631
밀양B,2020-09-09,22.4,7.1,89,8,0.6,4.5,26.5,1.789,0.063,3.2,225.034
밀양B,2020-09-14,23.8,7.7,137,7.9,0.9,3.7,9.6,2.506,0.049,2.5,59.687
밀양B,2020-09-22,22.3,7.7,138,9.4,1.5,3.9,8,1.917,0.031,2.4,13.303
